Initials,Team Number,Match Number,Robot Position,Starting Location,No Show,Taxied,Auto Upper Hub Scored,Auto Upper Hub Missed,Auto Lower Hub Scored,Upper Hub Scored,Lower Hub Scored,Was Defended,Climb,Robot Disabled?,Comments
GH,1793,16,Red 1,Right,FALSE,TRUE,0,0,0,0,0,FALSE,Failed,FALSE,
PV,3136,16,Blue 3,Left,FALSE,TRUE,1,1,0,7,0,FALSE,Medium,FALSE,
ZO,339,17,Blue 1,Middle,FALSE,FALSE,0,0,0,0,0,FALSE,NA,FALSE,
GH,9999,17,Blue 2,Right,FALSE,TRUE,0,0,1,0,2,FALSE,NA,FALSE,
Cm,5804,17,Red 3,Right,FALSE,FALSE,1,0,0,5,0,FALSE,Medium,FALSE,
TR,384,17,Red 2,Right,FALSE,TRUE,3,0,0,11,0,TRUE,Low,FALSE,"Shooter incredibly accurate, was pushed around"
PC,339,17,Blue 1,Middle,FALSE,FALSE,0,0,0,0,0,FALSE,NA,FALSE,Played ok defense
GC,1908,17,Red 1,Left,FALSE,TRUE,0,0,0,5,2,TRUE,Failed,FALSE,Fairly slow
PV,619,17,Blue 3,Left,FALSE,TRUE,1,1,0,6,0,FALSE,High,FALSE,Hung with 1 arm
TR,2028,18,Red 2,Middle,FALSE,TRUE,2,0,0,1,0,TRUE,Medium,FALSE,
ZO,346,18,Blue 3,Left,FALSE,,2,0,0,0,0,FALSE,High,FALSE,
PV,3359,18,Blue 1,Right,FALSE,TRUE,0,1,0,0,0,FALSE,Failed,FALSE,
Cm,2363,18,Red 3,Middle,FALSE,TRUE,5,0,0,3,0,FALSE,NA,FALSE,They accidentally got stuck in blue climber and got lots of fouls
PC,2890,18,Blue 2,Middle,FALSE,TRUE,1,0,0,1,0,FALSE,Low,FALSE,Got autotraversal bc of 2363 in their hangar. Climbed low
GC,1599,18,Red 1,Left,FALSE,TRUE,1,1,0,3,0,FALSE,Medium,FALSE,Not very accurate 
TR,435,19,Red 2,Right,FALSE,FALSE,0,0,1,0,3,TRUE,NA,TRUE,"Feeding system inefficient, took far too long to line up shot"
ZO,836,19,Blue 3,Left,FALSE,FALSE,0,0,0,13,0,FALSE,Medium,FALSE,
